# From http://www.helmod.org/files/LIS/ProtonLIS_K.txt
# Last line removed because it introduces a discontinuity in the extrapolation to Ekin>100TeV
# Kinetic Energy [GeV], LIS [(m^2 s sr GeV)^{-1}]
Ekin Flux
1.000000000000000888e-03 6.441975820204667798e+03
1.070000000000015383e-03 7.905502242306875814e+03
1.144900000000004248e-03 8.310429162344591532e+03
1.225043000000036741e-03 8.473665555092649811e+03
1.310796010000059297e-03 8.580939277977899110e+03
1.402551730700030141e-03 8.675819899359899864e+03
1.500730351848944544e-03 8.768894267548248536e+03
1.605781476478496117e-03 8.862863751135564598e+03
1.718186179831993066e-03 8.958485998068432309e+03
1.838459212420207045e-03 9.056025856064057734e+03
1.967151357289531610e-03 9.155616094138300468e+03
2.104851952299813256e-03 9.257355843154535251e+03
2.252191588960839042e-03 9.361330797684198842e+03
2.409845000188148845e-03 9.467625110119613964e+03
2.578534150201261532e-03 9.576316451859791414e+03
2.759031540715328745e-03 9.687479414490982890e+03
2.952163748565439505e-03 9.801183087526200325e+03
3.158815210965060238e-03 9.917491613978463647e+03
3.379932275732633329e-03 1.003645995850009604e+04
3.616527535033831064e-03 1.015813436943875786e+04
3.869684462486255860e-03 1.028255082250886517e+04
4.140562374860268235e-03 1.040973210114808535e+04
4.430401741100431501e-03 1.053965115345942286e+04
4.740529862977460596e-03 1.067229596623093312e+04
5.072366953385865074e-03 1.080767343387601250e+04
5.427432640122908936e-03 1.094574524183615358e+04
5.807352924931508120e-03 1.108644828904684618e+04
6.213867629676794735e-03 1.122969050052628882e+04
6.648838363754072667e-03 1.137535229851796976e+04
7.114257049216865525e-03 1.152328719948089383e+04
7.612255042662052773e-03 1.167331645918366121e+04
8.145112895648454199e-03 1.182522913628810420e+04
8.715270798343777159e-03 1.197877770798762322e+04
9.325339754227890410e-03 1.213368110038111445e+04
9.978113537023824975e-03 1.228961634445601521e+04
1.067658148461547718e-02 1.244622446130525714e+04
1.142394218853859389e-02 1.260310283954490114e+04
1.222361814173622552e-02 1.275980935320124991e+04
1.307927141165787788e-02 1.291585832010077320e+04
1.399482041047384051e-02 1.307072244158919784e+04
1.497445783920703377e-02 1.322383384888857290e+04
1.602266988795153502e-02 1.337458527124871580e+04
1.714425678010811360e-02 1.352233231011301359e+04
1.834435475471574151e-02 1.366640819198013014e+04
1.962845958754588782e-02 1.380611999754150565e+04
2.100245175867410108e-02 1.394074322045470035e+04
2.247262338178124264e-02 1.406951400955976533e+04
2.404570701850594627e-02 1.419167299947373249e+04
2.572890650980130811e-02 1.430651437043270926e+04
2.752992996548742077e-02 1.441333753255007286e+04
2.945702506307157353e-02 1.451142407325632121e+04
3.151901681748647821e-02 1.459997662221405699e+04
3.372534799471060829e-02 1.467820098708275691e+04
3.608612235434038862e-02 1.474535555878585546e+04
3.861215091914416142e-02 1.480078497724865883e+04
4.131500148348432599e-02 1.484389865852536786e+04
4.420705158732818330e-02 1.487415586742141204e+04
4.730154519844120831e-02 1.489103546178366014e+04
5.061265336233211620e-02 1.489398713679201319e+04
5.415553909769532659e-02 1.488247666629071136e+04
5.794642683453399279e-02 1.485586249823866638e+04
6.200267671295134342e-02 1.481362027557642796e+04
6.634286408285805514e-02 1.475530336429585077e+04
7.098686456865799244e-02 1.468053697603136607e+04
7.595594508846414961e-02 1.458902575660160801e+04
8.127286124465671335e-02 1.448056838185092784e+04
8.696196153178270549e-02 1.435502368735340860e+04
9.304929883900747711e-02 1.421239776018893281e+04
9.956274975773782288e-02 1.405276594935162939e+04
1.065321422407796703e-01 1.387628743869339814e+04
1.139893921976342650e-01 1.368313981659997808e+04
1.219686496514686969e-01 1.347356343623306566e+04
1.305064551270713746e-01 1.324786315169844966e+04
1.396419069859664575e-01 1.300639903243584558e+04
1.494168404749840473e-01 1.274958022516223355e+04
1.598760193082329195e-01 1.247795956429581020e+04
1.710673406598093305e-01 1.219214508997684607e+04
1.830420545059960880e-01 1.189279965919396636e+04
1.958549983214157297e-01 1.158062668270137510e+04
2.095648482039147442e-01 1.125631306385920834e+04
2.242343875781889206e-01 1.092063511537556224e+04
2.399307947086621873e-01 1.057441603582413882e+04
2.567259503382686159e-01 1.021847462682816513e+04
2.746967668619473280e-01 9.853660527074065612e+03
2.939255405422838141e-01 9.480846998505843658e+03
3.145003283802436655e-01 9.100724826193376430e+03
3.365153513668608376e-01 8.715564160698126216e+03
3.600714259625410474e-01 8.326272496208815937e+03
3.852764257799190517e-01 7.933942287850185494e+03
4.122457755845134741e-01 7.539669282107106483e+03
4.411029798754293463e-01 7.144653216009168318e+03
4.719801884667096381e-01 6.750085875050715913e+03
5.050188016593795126e-01 6.357239569882318392e+03
5.403701177755362295e-01 5.967541638043049716e+03
5.781960260198240054e-01 5.582690217043921621e+03
6.186697478412115370e-01 5.204772558153125829e+03
6.619766301900962269e-01 4.836336459621952599e+03
7.083149943034026119e-01 4.480311490889509514e+03
7.578970439046408547e-01 4.138062248176361209e+03
8.109498369779659654e-01 3.810625925087906126e+03
8.677163255664239738e-01 3.499083405909546855e+03
9.284564683560736498e-01 3.203769097547922229e+03
9.934484211409986276e-01 2.924755997874695367e+03
1.062989810620869280e+00 2.661980494939264645e+03
1.137399097364330425e+00 2.415375490680282383e+03
1.217017034179833646e+00 2.184817698076121360e+03
1.302208226572421745e+00 1.970086774476721985e+03
1.393362802432491998e+00 1.770926277848834388e+03
1.490898198602766511e+00 1.586972123302281489e+03
1.595261072504960742e+00 1.417777659198333822e+03
1.706929347580308010e+00 1.262797792679930126e+03
1.826414401910929408e+00 1.121423196334827026e+03
1.954263410044695837e+00 9.930115101564350653e+02
2.091061848747824747e+00 8.768745639820861015e+02
2.237436178160172595e+00 7.722559065806888157e+02
2.394056710631384810e+00 6.783663558041730539e+02
2.561640680375583123e+00 5.944123952132650857e+02
2.740955528001873809e+00 5.196175674613174351e+02
2.932822414962002355e+00 4.532030485228159478e+02
3.138119984009343000e+00 3.944175307408735307e+02
3.357788382889998147e+00 3.425396889870630162e+02
3.592833569692298390e+00 2.968821003690835028e+02
3.844331919570759482e+00 2.568061528060143814e+02
4.113435153940715239e+00 2.217105266134276462e+02
4.401375614716565465e+00 1.910440773172784930e+02
4.709471907746725527e+00 1.642994832162125647e+02
5.039134941288996750e+00 1.410244690671057697e+02
5.391874387179227845e+00 1.208082411434166801e+02
5.769305594281774141e+00 1.032827219447978138e+02
6.173156985881499637e+00 8.812119090092376439e+01
6.605277974893206228e+00 7.503033088878609647e+01
7.067647433135732626e+00 6.375144685545788548e+01
7.562382753455235473e+00 5.405472786484561709e+01
8.091749546197103626e+00 4.573505086634328620e+01
8.658172014430901342e+00 3.861438712342260260e+01
9.264244055441066550e+00 3.253547229513764449e+01
9.912741139321942896e+00 2.735941185363132888e+01
1.060663301907448108e+01 2.296364612270439665e+01
